normal_tamil,theni_tamil
ஸ்டாடிஸ்டிக்ஸ் ப்ராப்ளத்தை சால்வ் பண்ணுங்க,ஸ்டாடிஸ்டிக்ஸ் கணக்க போடு
நிகழ்தகவு பத்திசொல்லுங்க,நிகழ்தகவு (Probability) பத்திசொல்லுங்க
கிராப் வரையுற ஸ்டெப்ஸ்சொல்லுங்க,கிராப் வரையுறதசொல்லுங்க
கோ-ஆர்டினேட் ஜியோமெட்ரி ப்ராப்ளம்,கோ-ஆர்டினேட் ஜியோமெட்ரி கணக்கு
மென்சுரேஷன் சம்ஸ் குடுங்க,மென்சுரேஷன் கணக்கு குடுங்க
எப்படி ஒர்க் அவுட் பண்ணீங்கன்னு தெளிவா காட்டுங்க,எப்புடி செஞ்சீங்கன்னு காட்டு
ஷார்ட்கட் மெத்தட்சொல்லுங்க,ஷார்ட்கட் மெத்தட்சொல்லுங்க
கால்குலேஷனை செக் பண்ணுங்க,கணக்கை செக் பண்ணுங்க
ஃபார்முலா யூஸ் பண்ணி சால்வ் பண்ணுங்க,ஃபார்முலா வச்சு கணக்கு போடு
ஃபார்முலாவை எக்ஸ்ப்ளைன் பண்ணுங்க,ஃபார்முலாவை விளக்கு
பிராக்டிஸ் பண்ண கொஞ்சம் சம்ஸ் குடுங்க,பிராக்டிஸ் பண்ண கணக்கு குடுங்க
இந்த எக்ஸ்பெரிமெண்ட்டை எக்ஸ்ப்ளைன் பண்ணுங்க,சோதனையை விளக்கு
லேப் ரெக்கார்டு எழுதுங்க,லேப் ரெக்கார்டு எழுது
வைவா கேள்விகள்சொல்லுங்க,வைவா கேள்விசொல்லுங்க
கெமிக்கல் ரியாக்ஷனை எக்ஸ்ப்ளைன் பண்ணுங்க,கெமிக்கல் ரியாக்ஷனை விளக்கு
ஈக்குவேஷனை பேலன்ஸ் பண்ணுங்க,ஈக்குவேஷனை பேலன்ஸ் பண்ணுங்க
பிசிக்ஸ் நம்பர்ஸை சால்வ் பண்ணுங்க,பிசிக்ஸ் கணக்க போடு
இயக்க விதிகளை எக்ஸ்ப்ளைன் பண்ணுங்க,இயக்க விதிகளை விளக்கு
எலக்ட்ரிசிட்டி லெசனை எக்ஸ்ப்ளைன் பண்ணுங்க,எலக்ட்ரிசிட்டி பாடத்தை விளக்கு
பயாலஜி டயக்ராம் வரைஞ்சு காட்டுங்க,பயாலஜி படம் வரைஞ்சு காட்டு
라이ஃப் பிராசஸ் நோட்ஸ் குடுங்க,லைஃப் பிராசஸ் நோட்ஸ் குடுங்க
ஃபோட்டோசிந்தசிஸ் பத்திசொல்லுங்க,ஃபோட்டோசிந்தசிஸ் பத்திசொல்லுங்க
மனுஷ செரிமான மண்டலத்தை விளக்குங்க,மனுஷ செரிமான மண்டலத்தை விளக்கு
பீரியாடிக் டேபிள் பத்திசொல்லுங்க,பீரியாடிக் டேபிள் பத்திசொல்லுங்க
ஆசிட் பேஸ் மற்றும் சால்ட் பத்திசொல்லுங்க,ஆசிட் பேஸ் பத்திசொல்லுங்க
